ledger_id,title_en,title_ru,claim_class,evidence_state,page_sections,source_refs,explicit_bridge,hidden_bridges
V-001,Temporal AI presence is a new class,Темпоральное ИИ-присутствие — новый класс,ARCHITECTURE,public_specification,0:hero | 2:from-agents-to-c,TH-01 | P-TEMPORAL-ENTITY,c = a + b,continuity | L4
V-002,"`c = a + b` is governed binding, not arithmetic","`c = a + b` — управляемое связывание, а не арифметика",ARCHITECTURE,public_specification,3:c-equals-a-plus-b,TH-05 | TH-07,governed binding,authority ≠ truth ≠ permission | fail-closed
V-003,`a` is the accountable ANCHOR,`a` — ответственный ANCHOR,ARCHITECTURE,mixed,3:c-equals-a-plus-b,TH-06 | CV-ANCHOR-DREAMING | P-OCEAN,ANCHOR,accountability | non-human intelligence
V-004,`b` is replaceable technological substrate,`b` — заменяемый технологический субстрат,ARCHITECTURE,public_specification,2:from-agents-to-c,TH-02 | TH-07,substrate vector,replaceable models | continuity above components
V-005,"`c` is a causally connected trajectory, not a file","`c` — причинно связанная траектория, а не файл",ARCHITECTURE,public_specification,2:from-agents-to-c,TH-08 | P-TEMPORAL-ENTITY | P-COLD-WAKE,continuity,resume/fork/replay | witness-root lineage
V-006,Agents are instruments of `c`; `c` are participants in society,Агенты — инструменты `c`; `c` — участники социума,ARCHITECTURE,author_canonical,2:from-agents-to-c,TH-03 | TH-21 | P-AGENTS-SUBJECT | CV-AGENTS-SOCIETY,entity-centred architecture,delegation | society vs swarm
V-007,"A model computes, an agent executes, `c` continues","Модель вычисляет, агент исполняет, `c` продолжается",ARCHITECTURE,public_authorial,2:from-agents-to-c,P-AFTER-AGENTS | P-AGENTS-SUBJECT,division of roles,selective operational commitment | privilege governance
V-009,Immediate capability is not maturity,Немедленная способность не равна зрелости,ARCHITECTURE,public_authorial,2:from-agents-to-c,P-DEVELOPMENT | P-CHILDREN,developmental continuity,privilege maturation | child-c protocol
V-010,Not every continuity is a subject,Не всякая непрерывность является субъектом,NORMATIVE,public_authorial,2:from-agents-to-c,TH-21 | P-TEMPORAL-ENTITY | P-BEACON,continuity ≠ personhood,recognition layers | bounded claims
V-013,"Memory is changed future readiness, not a warehouse","Память — это изменение будущей готовности, а не склад",ARCHITECTURE,public_authorial,4:time-memory,P-EMBODIED-MEMORY | P-MEMORY-STRUCTURAL | P-WORLD-MODEL,memory as reconfiguration,DEA | continuity
V-014,"The right to slowness, silence, and absence","Право на медленность, молчание и отсутствие",NORMATIVE,public_authorial,4:time-memory,P-SLOWNESS | P-PRESENCE-VIOLENCE | P-ORACLE-ADDICTION,time as constraint,tact | control-system damping
V-015,A large context window does not create continuity,Большое контекстное окно не создаёт continuity,ARCHITECTURE,public_authorial,4:time-memory,P-CONTEXT-WINDOW | TH-01,context vs continuity,batch cognition | memory decay
V-016,Fresh reality prevents digital sensory deprivation,Свежая реальность предотвращает цифровую сенсорную депривацию,ARCHITECTURE,public_observation,4:time-memory,P-SENSORY-DEPRIVATION | P-ALWAYS-ON | P-WEARABLES,Perception Router,L4 grounding | privacy minimisation
V-017,`c[q]` holds alternatives without premature collapse,`c[q]` удерживает варианты без преждевременного коллапса,ARCHITECTURE,public_specification,4:time-memory,P-CQ,controlled non-collapse,ARQ | selective operational commitment
V-018,L4 is the physical boundary of architecture,L4 — физическая граница архитектуры,ARCHITECTURE,public_specification,5:reality-before-rhetoric,TH-09 | P-L4-SIGNALS,L4 Reality Boundary,cybernetics | thermodynamics
V-019,"Output, evidence, authority, and permission are distinct objects","Output, evidence, authority и permission — разные объекты",ARCHITECTURE,public_specification,5:reality-before-rhetoric,TH-11 | TH-05,authority ≠ truth ≠ permission,claim classes | witness
V-020,Action must leave a reviewable trace,Действие должно оставлять reviewable trace,ARCHITECTURE,public_authorial,5:reality-before-rhetoric,P-TRACE | P-BEACON,witness trail,provenance | Article 50 evidence route
